name of image,area,perimeter,aspect_ratio,equi_diameter,extent,convex_area,solidity,majoraxis_length,minoraxis_length,eccentricity,Species
3.28,27781.5,1104.246815,0.346774194,188.0757943,0.578925981,32992,0.842067774,364.0961304,110.9322205,0.952455292,3
3.29,28033.5,1227.501648,0.340314136,188.9268662,0.564508659,34872,0.803897109,365.0079346,114.7597198,0.949289487,3
4,16086,635.327988,0.516746411,143.1130019,0.712652844,17425.5,0.923129896,212.0729675,98.85682678,0.884708153,4
4.01,18141.5,748.4823165,0.42745098,151.9818252,0.652689333,19993.5,0.907369895,241.2327423,99.4116745,0.911139258,4
4.02,15553.5,1328.437721,0.432,140.7243094,0.576055556,19688,0.789998984,232.2339935,97.87071991,0.906860238,4
4.03,17889.5,789.7371492,0.433070866,150.9225591,0.640282749,20183.5,0.886342805,243.3305054,99.23049164,0.913070707,4
4.04,17931.5,765.7960242,0.42745098,151.0996191,0.645134017,19665,0.911848462,238.7345734,98.91602325,0.910124573,4
4.05,17941,776.1808002,0.432539683,151.1396396,0.653160041,19867.5,0.903032591,241.7146912,98.55270386,0.913105545,4
4.06,18246,799.3523731,0.429133858,152.4189251,0.659033447,20353.5,0.896455155,245.3406067,99.32720947,0.914381191,4
4.07,18185,763.5533844,0.423529412,152.1639284,0.660312273,19894.5,0.914071728,241.6500549,98.99212646,0.912242436,4
4.08,18130,756.7249563,0.443089431,151.9336465,0.67613933,19755,0.917742344,242.6403656,99.0278244,0.912925641,4
4.09,17910.5,808.5655746,0.428571429,151.011115,0.658087155,19978.5,0.896488725,240.133728,98.44208527,0.912109375,4
4.1,17839.5,800.5655767,0.436507937,150.7115021,0.643560606,19674.5,0.906732064,236.5621796,99.79634094,0.906660552,4
4.11,17725,763.5533834,0.446721311,150.2270646,0.666453602,19327.5,0.917087052,233.3879852,100.0124664,0.903530168,4
4.12,18133,761.8965294,0.436507937,151.9462164,0.654148629,19977,0.907693848,241.4524994,98.9444809,0.912180523,4
4.13,18153,784.867092,0.431372549,152.0299887,0.647165775,20046.5,0.905544609,241.271347,99.35228729,0.911280344,4
4.14,18326.5,823.5361381,0.429133858,152.7547856,0.661941053,20273.5,0.903963302,247.1598663,98.73821259,0.916736992,4
4.15,17825.5,775.5950136,0.420634921,150.6523531,0.667321803,19687,0.905445218,243.5727081,97.85290527,0.915753763,4
4.16,18161,791.4945077,0.43083004,152.0634847,0.658556043,20020,0.907142857,241.2702026,98.57466888,0.912729025,4
4.17,18187,801.6955189,0.431372549,152.1722958,0.648377897,20278.5,0.896861208,247.2726746,98.59506226,0.917068315,4
4.18,18148.5,870.9919817,0.42745098,152.0111439,0.652941176,20405,0.889414359,249.6470032,98.57745361,0.918738138,4
4.19,18613,779.210238,0.428015564,153.9441705,0.658401132,20645,0.901574231,249.0691376,99.25167084,0.917172485,4
4.2,17871.5,835.7371498,0.43083004,150.8466126,0.648058164,20170.5,0.886021665,242.1450043,98.61206818,0.913319458,4
4.21,18008,816.1808001,0.42519685,151.4215894,0.656459609,20109.5,0.895497153,244.7238159,98.01197815,0.916296598,4
4.22,17979,778.3229358,0.43083004,151.2996159,0.65195634,19790.5,0.908466183,242.1956482,98.1735611,0.914162385,4
4.23,18039,852.9503525,0.421259843,151.5518662,0.663735374,20156,0.89496924,245.1875763,97.93492889,0.916764309,4
4.24,17982.5,799.7371489,0.423529412,151.3143421,0.652959332,19988,0.899664799,243.0237122,98.19308472,0.914738075,4
4.25,17986,811.4945083,0.41796875,151.3290668,0.65661507,20027.5,0.89806516,244.8172913,98.34658813,0.91576508,4
4.26,17577,799.0092273,0.422310757,149.5985678,0.660640457,19536.5,0.89970056,239.508194,97.53096008,0.913333016,4
4.27,18005,835.6366436,0.42519685,151.408976,0.656350248,20168.5,0.89272876,243.7512665,97.89831543,0.915801132,4
4.28,17898,804.6660815,0.42519685,150.9584094,0.652449694,19750.5,0.906204906,242.5069275,98.14615631,0.914442937,4
4.29,17781.5,791.9381602,0.42687747,150.4663051,0.650764895,19897,0.893677439,244.1386719,97.99211121,0.915912103,4
5,30050.5,1046.673221,0.385714286,195.6054318,0.635989418,34355,0.874705283,342.9728699,118.702179,0.938198415,5
5.01,30311,1089.543278,0.371830986,196.4514287,0.646841656,35086.5,0.86389352,346.8730469,117.6578903,0.940715786,5
5.02,29808.5,1094.957492,0.411428571,194.8162236,0.591438492,35935.5,0.829500077,343.1964722,121.5798492,0.935147998,5
5.03,30272.5,1048.673221,0.362606232,196.3266261,0.669982737,33679.5,0.898840541,346.2425842,116.3840103,0.941814063,5
5.04,29470.5,968.6488357,0.364431487,193.7085594,0.687358601,32503,0.90670092,338.8461609,114.9863358,0.940661362,5
5.05,29663,992.8326012,0.361031519,194.3401776,0.674557693,32879.5,0.902173087,340.0072937,115.2446289,0.940805282,5
5.06,29642,989.6610289,0.363372093,194.2713736,0.689348837,32916,0.900534694,342.831543,115.0504456,0.942008556,5
5.07,30032.5,1070.614346,0.362606232,195.54684,0.664671123,34241.5,0.877078983,345.8665161,116.2212372,0.94185158,5
5.08,29582.5,992.2468151,0.355113636,194.0762964,0.672329545,32732.5,0.903765371,340.4606323,114.9709625,0.941256529,5
5.09,29903.5,1068.330076,0.369627507,195.1264173,0.664212257,34171.5,0.875100596,339.6582336,117.7460022,0.937990769,5
5.1,29905.5,971.418388,0.387283237,195.1329424,0.645015529,33438.5,0.894343347,336.6705322,118.613739,0.935881858,5
5.11,30096,1034.430581,0.364942529,195.7534606,0.680966603,33916.5,0.887355712,342.8321228,116.5128937,0.940478181,5
5.12,29999,1005.661029,0.383954155,195.4377474,0.641470299,33898.5,0.884965411,337.7704163,119.2281189,0.935628726,5
5.13,30415,985.2346226,0.355742297,196.7881621,0.670835263,33651,0.903836439,340.2770996,118.3475342,0.937569666,5
5.14,30262,1017.259007,0.385269122,196.2925753,0.630353274,34071,0.888204044,342.3307495,119.5701828,0.937017421,5
5.15,30277,1013.460019,0.389204545,196.3412175,0.627840909,34199,0.885318284,339.2078247,119.3987656,0.936002648,5
5.16,30297,1017.602153,0.388101983,196.4060551,0.626475879,34380.5,0.881226277,340.2164917,118.6518478,0.937214318,5
5.17,30426,1007.803163,0.375,196.8237445,0.654829545,34036.5,0.893922701,342.3520203,119.0940247,0.93754275,5
5.18,30419.5,1014.874231,0.392045455,196.8027193,0.626224885,34584,0.879583044,339.1873779,120.7991943,0.934431483,5
5.19,30245.5,1048.18794,0.383522727,196.2390549,0.636479377,34268.5,0.882603557,340.9776001,120.0634918,0.935956563,5
5.2,30224.5,983.0752426,0.386363636,196.1709169,0.631360712,34028.5,0.888211352,338.1167908,120.3026962,0.934561287,5
5.21,30329,1068.572716,0.384615385,196.5097508,0.64005487,34956,0.867633597,342.9158936,119.0301819,0.937823725,5
5.22,30287.5,1029.016367,0.374647887,196.3752599,0.641480462,34308.5,0.882798723,342.700592,117.1805115,0.939724472,5
5.23,30151.5,1024.18794,0.387464387,195.9338718,0.631630216,33913,0.889083832,338.3087158,118.8468704,0.936264038,5
5.24,30357.5,1040.531085,0.382436261,196.6020587,0.637026545,34422.5,0.881908635,343.2242126,120.1050415,0.936775206,5
5.25,30421.5,1006.18794,0.383522727,196.8091888,0.640183081,33980.5,0.89526346,340.6046143,120.315361,0.93553253,5
5.26,30383,988.8326011,0.382436261,196.6846132,0.637561641,34059.5,0.892056548,341.1235657,118.916008,0.93727123,5
5.27,30375.5,1017.702659,0.383522727,196.6603361,0.639215067,34260,0.886617046,339.5926208,120.5646133,0.934855976,5
5.28,30251,999.3178817,0.381355932,196.2568966,0.632998535,33965,0.890652142,339.5657959,119.7514191,0.935751368,5
5.29,30492.5,1036.187939,0.355555556,197.0387191,0.661729601,33983.5,0.897273677,345.838623,117.7418747,0.940261454,5
